Date,Open,High,Low,Close,Volume
2010-01-04 00:00:00-05:00,6.400988318677633,6.4330786686287,6.369497803320925,6.4183831214904785,493729600
2010-01-05 00:00:00-05:00,6.436078256388881,6.4657692680287715,6.395589821602762,6.429480075836182,601904800
2010-01-06 00:00:00-05:00,6.429480302803004,6.454972873596536,6.320612722382102,6.327210903167725,552160000
2010-01-07 00:00:00-05:00,6.3506030553674595,6.358100987373524,6.26962699139639,6.3155131340026855,477131200
2010-01-08 00:00:00-05:00,6.3071165990165365,6.358101741860737,6.269928453547931,6.35750150680542,447610800
2010-01-11 00:00:00-05:00,6.382093168386391,6.388091513614768,6.251632363057832,6.301417827606201,462229600
2010-01-12 00:00:00-05:00,6.273824390234454,6.291219990021111,6.190749719955273,6.229737758636475,594459600
2010-01-13 00:00:00-05:00,6.2342370342072595,6.3260088995677455,6.1211706460340904,6.317611217498779,605892000
2010-01-14 00:00:00-05:00,6.301418354669319,6.311915059273364,6.268727770863939,6.281023979187012,432894000
2010-01-15 00:00:00-05:00,6.3260109616464195,6.346105421718744,6.1742564043160515,6.176055908203125,594067600
2010-01-19 00:00:00-05:00,6.248034353646047,6.453772822750024,6.215344568202023,6.449274063110352,730007600
2010-01-20 00:00:00-05:00,6.445374612955087,6.464568918763532,6.283123366073346,6.350003719329834,612152800
2010-01-21 00:00:00-05:00,6.360500638690358,6.397389264705099,6.214443718988294,6.240235805511475,608154400
2010-01-22 00:00:00-05:00,6.201548728723449,6.223141975388762,5.9130350677707,5.930729389190674,881767600
2010-01-25 00:00:00-05:00,6.073486517520357,6.1391664065053355,6.0039073030690755,6.0902814865112305,1065699600
2010-01-26 00:00:00-05:00,6.17665384864954,6.409384407832591,6.07558414719565,6.176353931427002,1867110000
2010-01-27 00:00:00-05:00,6.203647946787973,6.315514310186897,5.98411326184814,6.234539031982422,1722568400
2010-01-28 00:00:00-05:00,6.146063564225382,6.163158045260438,5.9592191366613765,5.9769134521484375,1173502400
2010-01-29 00:00:00-05:00,6.03059925593936,6.064189192320408,5.705796031258827,5.760079860687256,1245952400
2010-02-01 00:00:00-05:00,5.769376252245287,5.878243816242545,5.737285905930892,5.840155124664307,749876400
2010-02-02 00:00:00-05:00,5.875546789727081,5.887843000920873,5.799669300221243,5.874046802520752,698342400
2010-02-03 00:00:00-05:00,5.853352615152895,6.004207834616055,5.8308592149524285,5.97511625289917,615328000
2010-02-04 00:00:00-05:00,5.900138187558014,5.9493238279776035,5.745384852198745,5.7597808837890625,757652000
2010-02-05 00:00:00-05:00,5.77717490798693,5.878244637257612,5.723790428529675,5.862049102783203,850306800
2010-02-08 00:00:00-05:00,5.868946040104141,5.934626310751738,5.8182608298747125,5.821859836578369,478270800
2010-02-09 00:00:00-05:00,5.890840778512745,5.923231046696021,5.840755789708639,5.8839430809021,632886800
2010-02-10 00:00:00-05:00,5.874945727758211,5.896240258949574,5.8260608038876756,5.851852893829346,370361600
2010-02-11 00:00:00-05:00,5.844654760831028,5.9907112865384375,5.8200619419817405,5.958320617675781,550345600
2010-02-12 00:00:00-05:00,5.941524911632913,6.047393706175695,5.863248506021545,6.0096049308776855,655468800
2010-02-16 00:00:00-05:00,6.056391592293472,6.108875920105584,6.043795465737185,6.1001787185668945,543737600
2010-02-17 00:00:00-05:00,6.123870883374036,6.127469890787703,6.024000429762848,6.074686050415039,436396800
2010-02-18 00:00:00-05:00,6.047094083464997,6.114874598140544,6.0258007542144325,6.086082935333252,422825200
2010-02-19 00:00:00-05:00,6.053991942333867,6.094179655749276,6.031498146800547,6.048293113708496,415469600
2010-02-22 00:00:00-05:00,6.068387972697071,6.0731862489714965,5.973916027322339,6.010804653167725,390563600
2010-02-23 00:00:00-05:00,5.998208819871767,6.038097021022937,5.869547498017772,5.910035133361816,575094800
2010-02-24 00:00:00-05:00,5.945124757879575,6.041396213336692,5.933427982660138,6.018003463745117,460566400
2010-02-25 00:00:00-05:00,5.91963223546759,6.08398290916739,5.904936688411532,6.058190822601318,665126000
2010-02-26 00:00:00-05:00,6.069586569079581,6.153261482614476,6.058190113607798,6.13676643371582,507460800
2010-03-01 00:00:00-05:00,6.170655456342235,6.283122011380306,6.1616583401594225,6.267827033996582,550093600
2010-03-02 00:00:00-05:00,6.296020260041699,6.323012418905916,6.23033996746918,6.263630390167236,566546400
2010-03-03 00:00:00-05:00,6.2663267958417554,6.294218295354343,6.236335875871993,6.278022766113281,372052800
2010-03-04 00:00:00-05:00,6.276526608094571,6.325711449127426,6.257031580980093,6.319413185119629,366041200
2010-03-05 00:00:00-05:00,6.4462752502485685,6.589032685201613,6.43697781371788,6.566539287567139,899620400
2010-03-08 00:00:00-05:00,6.598331331070575,6.600730269691723,6.5455470733542755,6.57043981552124,429889600
2010-03-09 00:00:00-05:00,6.547344140378251,6.747983988233552,6.5347480155052615,6.688601970672607,920259200
2010-03-10 00:00:00-05:00,6.712894601646677,6.762379747784232,6.694000214878,6.743185043334961,596218000
2010-03-11 00:00:00-05:00,6.71529371362902,6.762978553771973,6.697598596060563,6.762978553771973,405700400
2010-03-12 00:00:00-05:00,6.8190633484712135,6.829860371689238,6.770478345684692,6.795970916748047,416323600
2010-03-15 00:00:00-04:00,6.759380905675273,6.762979112088277,6.6055265486908485,6.713194847106934,493502800
2010-03-16 00:00:00-04:00,6.723390386597466,6.747382963033785,6.6733054127890155,6.73148775100708,446908000
2010-03-17 00:00:00-04:00,6.744986609164284,6.791472596944784,6.696101683017723,6.721593856811523,450956800
2010-03-18 00:00:00-04:00,6.720991941506472,6.747984497751548,6.676305866750772,6.73748779296875,342109600
2010-03-19 00:00:00-04:00,6.741687578649405,6.755183458237269,6.634919010009822,6.665510177612305,559445600
2010-03-22 00:00:00-04:00,6.612124763230596,6.777975401481914,6.602527411067792,6.740486145019531,456419600
2010-03-23 00:00:00-04:00,6.767177089678357,6.861349499265876,6.720990636584741,6.848752975463867,602431200
2010-03-24 00:00:00-04:00,6.827161470001375,6.903938699558643,6.823262144553223,6.8790459632873535,597780400
2010-03-25 00:00:00-04:00,6.925533439137487,6.92703342643263,6.785474828313606,6.797471523284912,542284400
2010-03-26 00:00:00-04:00,6.866449809404741,6.95642259413151,6.8544531177689425,6.924932479858398,640875200
2010-03-29 00:00:00-04:00,6.987912241803464,7.014003840108044,6.946524464014002,6.969616889953613,540744400
2010-03-30 00:00:00-04:00,7.095881020780636,7.122273744202646,7.025401653822346,7.073387622833252,527310000
2010-03-31 00:00:00-04:00,7.062593214497525,7.096183161178587,7.031702123890544,7.047896862030029,430659600
2010-04-01 00:00:00-04:00,7.120172643458384,7.159760119784918,6.980414404743126,7.0769853591918945,603145200
2010-04-05 00:00:00-04:00,7.047292588720461,7.153160545238325,7.040993927817908,7.152560710906982,684507600
2010-04-06 00:00:00-04:00,7.143865311552561,7.205046827054399,7.1078760434608155,7.184053421020508,447017200
2010-04-07 00:00:00-04:00,7.184354192634182,7.255433389932219,7.157661953932773,7.215845108032227,628502000
2010-04-08 00:00:00-04:00,7.211047554253122,7.244037660832522,7.139068994289455,7.196352005004883,572989200
2010-04-09 00:00:00-04:00,7.240737763536199,7.25453395888767,7.211646186805629,7.2515339851379395,334182800
2010-04-12 00:00:00-04:00,7.263831810800842,7.289924220438014,7.2521354343007065,7.266531467437744,333026400
2010-04-13 00:00:00-04:00,7.253634026475551,7.281825451766333,7.231139828601354,7.27072811126709,306210800
2010-04-14 00:00:00-04:00,7.356203546665095,7.372098763552425,7.3199147536977645,7.368499755859375,404076400
2010-04-15 00:00:00-04:00,7.371196814561529,7.468667913705977,7.363099449649447,7.46536922454834,376784800
2010-04-16 00:00:00-04:00,7.454872712073136,7.53195025035611,7.334309171101551,7.419783592224121,750545600
2010-04-19 00:00:00-04:00,7.408688121408893,7.434480209888907,7.250934815656593,7.409887790679932,566924400
2010-04-20 00:00:00-04:00,7.453975281748157,7.475269013303992,7.286625403667126,7.335510730743408,738326400
2010-04-21 00:00:00-04:00,7.7616792574709885,7.805166850540455,7.669606680261982,7.774275779724121,982391200
2010-04-22 00:00:00-04:00,7.7448866611698115,8.000110253824072,7.683704338400468,7.99171257019043,793424800
2010-04-23 00:00:00-04:00,8.037302583303909,8.162965183071185,8.00761195910836,8.122477531433105,796955600
2010-04-26 00:00:00-04:00,8.15396500459185,8.171359407250405,8.043297522336768,8.082586288452148,479068800
